time	V(n002)	V(n003)
0.000000000000000e+00	1.652770e+00	6.500000e+00
3.836495535714287e-04	1.641359e+00	6.524228e+00
7.672991071428575e-04	1.630039e+00	6.548263e+00
1.150948660714286e-03	1.618810e+00	6.572106e+00
1.534598214285715e-03	1.607671e+00	6.595756e+00
1.918247767857144e-03	1.596623e+00	6.619214e+00
2.301897321428572e-03	1.585666e+00	6.642480e+00
2.685546875000000e-03	1.574798e+00	6.665553e+00
3.662109375000000e-03	1.548184e+00	6.722061e+00
4.638671875000000e-03	1.523143e+00	6.775229e+00
5.615234375000000e-03	1.500051e+00	6.824257e+00
6.591796875000000e-03	1.479256e+00	6.868408e+00
7.568359375000000e-03	1.461070e+00	6.907018e+00
8.544921875000000e-03	1.445767e+00	6.939506e+00
9.521484375000000e-03	1.433577e+00	6.965384e+00
1.049804687500000e-02	1.424683e+00	6.984261e+00
1.147460937500000e-02	1.419219e+00	6.995855e+00
1.245117187500000e-02	1.417268e+00	6.999990e+00
1.342773437500000e-02	1.418857e+00	6.996606e+00
1.440429687500000e-02	1.423964e+00	6.985752e+00
1.538085937500000e-02	1.432511e+00	6.967592e+00
1.635742187500000e-02	1.444370e+00	6.942399e+00
1.733398437500000e-02	1.459363e+00	6.910551e+00
1.831054687500000e-02	1.477263e+00	6.872529e+00
1.928710937500000e-02	1.497802e+00	6.828903e+00
2.026367187500000e-02	1.520670e+00	6.780331e+00
2.124023437500000e-02	1.545524e+00	6.727542e+00
2.221679687500000e-02	1.571989e+00	6.671330e+00
2.319335937500000e-02	1.599668e+00	6.612542e+00
2.416992187500000e-02	1.628144e+00	6.552061e+00
2.451869419642857e-02	1.638475e+00	6.530118e+00
2.486746651785714e-02	1.648784e+00	6.508222e+00
2.521623883928572e-02	1.659071e+00	6.486373e+00
2.556501116071429e-02	1.669336e+00	6.464571e+00
2.591378348214286e-02	1.679579e+00	6.442816e+00
2.626255580357143e-02	1.689799e+00	6.421109e+00
2.661132812500000e-02	1.699998e+00	6.399448e+00
2.758789062500000e-02	1.727870e+00	6.340249e+00
2.856445312500000e-02	1.754610e+00	6.283453e+00
2.954101562500000e-02	1.779817e+00	6.229914e+00
3.051757812500000e-02	1.803110e+00	6.180438e+00
3.149414062500000e-02	1.824140e+00	6.135768e+00
3.247070312500000e-02	1.842591e+00	6.096576e+00
3.344726562500000e-02	1.858184e+00	6.063453e+00
3.442382812500000e-02	1.870685e+00	6.036895e+00
3.540039062500000e-02	1.879906e+00	6.017303e+00
3.637695312500000e-02	1.885708e+00	6.004971e+00
3.735351562500000e-02	1.888004e+00	6.000085e+00
3.833007812500000e-02	1.886759e+00	6.002717e+00
3.930664062500000e-02	1.881992e+00	6.012830e+00
4.028320312500000e-02	1.873775e+00	6.030271e+00
4.125976562500000e-02	1.862230e+00	6.054776e+00
4.223632812500000e-02	1.847533e+00	6.085978e+00
4.321289062500000e-02	1.829902e+00	6.123406e+00
4.418945312500000e-02	1.809605e+00	6.166500e+00
4.516601562500000e-02	1.786946e+00	6.214610e+00
4.614257812500000e-02	1.762265e+00	6.267012e+00
4.711914062500000e-02	1.735934e+00	6.322918e+00
4.809570312500000e-02	1.708349e+00	6.381488e+00
4.956054687500000e-02	1.665531e+00	6.472403e+00
5.102539062500000e-02	1.622273e+00	6.564249e+00
5.200195312500000e-02	1.593914e+00	6.624464e+00
5.297851562500000e-02	1.566436e+00	6.682806e+00
5.395507812500000e-02	1.540253e+00	6.738400e+00
5.493164062500000e-02	1.515759e+00	6.790407e+00
5.590820312500000e-02	1.493321e+00	6.838047e+00
5.688476562500000e-02	1.473278e+00	6.880601e+00
5.786132812500000e-02	1.455931e+00	6.917431e+00
5.883789062500000e-02	1.441540e+00	6.947983e+00
5.981445312500000e-02	1.430322e+00	6.971797e+00
6.079101562500000e-02	1.422446e+00	6.988514e+00
6.176757812500000e-02	1.418030e+00	6.997884e+00
6.274414062500000e-02	1.417140e+00	6.999765e+00
6.372070312500000e-02	1.419791e+00	6.994129e+00
6.469726562500000e-02	1.425940e+00	6.981061e+00
6.567382812500000e-02	1.435497e+00	6.960757e+00
6.665039062500000e-02	1.448318e+00	6.933523e+00
6.762695312500000e-02	1.464209e+00	6.899769e+00
6.860351562500000e-02	1.482931e+00	6.860001e+00
6.958007812500000e-02	1.504203e+00	6.814819e+00
7.055664062500000e-02	1.527705e+00	6.764902e+00
7.153320312500000e-02	1.553083e+00	6.711000e+00
7.250976562500000e-02	1.579956e+00	6.653925e+00
7.348632812500000e-02	1.607919e+00	6.594534e+00
7.495117187500000e-02	1.650984e+00	6.503068e+00
7.641601562500000e-02	1.694098e+00	6.411498e+00
7.739257812500000e-02	1.722146e+00	6.351924e+00
7.836914062500000e-02	1.749146e+00	6.294579e+00
7.934570312500000e-02	1.774691e+00	6.240322e+00
8.032226562500000e-02	1.798397e+00	6.189971e+00
8.129882812500000e-02	1.819906e+00	6.144284e+00
8.227539062500000e-02	1.838897e+00	6.103947e+00
8.325195312500000e-02	1.855082e+00	6.069567e+00
8.422851562500000e-02	1.868218e+00	6.041660e+00
8.520507812500000e-02	1.878108e+00	6.020648e+00
8.618164062500000e-02	1.884603e+00	6.006846e+00
8.715820312500000e-02	1.887605e+00	6.000461e+00
8.813476562500000e-02	1.887069e+00	6.001590e+00
8.911132812500000e-02	1.883003e+00	6.010215e+00
9.008789062500000e-02	1.875468e+00	6.026207e+00
9.106445312500000e-02	1.864577e+00	6.049325e+00
9.204101562500000e-02	1.850494e+00	6.079223e+00
9.301757812500000e-02	1.833431e+00	6.115448e+00
9.399414062500000e-02	1.813644e+00	6.157458e+00
9.497070312500000e-02	1.791431e+00	6.204620e+00
9.594726562500000e-02	1.767126e+00	6.256225e+00
9.692382812500000e-02	1.741095e+00	6.311496e+00
9.790039062500000e-02	1.713728e+00	6.369603e+00
9.887695312500000e-02	1.685438e+00	6.429671e+00
9.922572544642858e-02	1.675142e+00	6.451533e+00
9.957449776785714e-02	1.664851e+00	6.473382e+00
9.992327008928571e-02	1.654566e+00	6.495221e+00
1.002720424107143e-01	1.644287e+00	6.517047e+00
1.006208147321429e-01	1.634013e+00	6.538862e+00
1.009695870535714e-01	1.623744e+00	6.560665e+00
1.013183593750000e-01	1.613482e+00	6.582457e+00
1.022949218750000e-01	1.585343e+00	6.642204e+00
1.032714843750000e-01	1.558211e+00	6.699812e+00
1.042480468750000e-01	1.532495e+00	6.754415e+00
1.052246093750000e-01	1.508580e+00	6.805192e+00
1.062011718750000e-01	1.486828e+00	6.851377e+00
1.071777343750000e-01	1.467564e+00	6.892278e+00
1.081542968750000e-01	1.451078e+00	6.927279e+00
1.091308593750000e-01	1.437619e+00	6.955853e+00
1.101074218750000e-01	1.427389e+00	6.977571e+00
1.110839843750000e-01	1.420541e+00	6.992105e+00
1.120605468750000e-01	1.417179e+00	6.999238e+00
1.130371093750000e-01	1.417352e+00	6.998861e+00
1.140136718750000e-01	1.421059e+00	6.990982e+00
1.149902343750000e-01	1.428244e+00	6.975718e+00
1.159667968750000e-01	1.438797e+00	6.953298e+00
1.169433593750000e-01	1.452562e+00	6.924060e+00
1.179199218750000e-01	1.469330e+00	6.888444e+00
1.188964843750000e-01	1.488849e+00	6.846986e+00
1.198730468750000e-01	1.510826e+00	6.800308e+00
1.208496093750000e-01	1.534929e+00	6.749114e+00
1.218261718750000e-01	1.560797e+00	6.694172e+00
1.228027343750000e-01	1.588041e+00	6.636311e+00
1.237792968750000e-01	1.616249e+00	6.576398e+00
1.262207031250000e-01	1.688192e+00	6.423602e+00
1.271972656250000e-01	1.716400e+00	6.363689e+00
1.281738281250000e-01	1.743643e+00	6.305828e+00
1.291503906250000e-01	1.769511e+00	6.250886e+00
1.301269531250000e-01	1.793614e+00	6.199692e+00
1.311035156250000e-01	1.815591e+00	6.153014e+00
1.320800781250000e-01	1.835109e+00	6.111556e+00
1.330566406250000e-01	1.851877e+00	6.075940e+00
1.340332031250000e-01	1.865641e+00	6.046702e+00
1.350097656250000e-01	1.876194e+00	6.024282e+00
1.359863281250000e-01	1.883377e+00	6.009018e+00
1.369628906250000e-01	1.887084e+00	6.001139e+00
1.379394531250000e-01	1.887257e+00	6.000762e+00
1.389160156250000e-01	1.883894e+00	6.007895e+00
1.398925781250000e-01	1.877045e+00	6.022429e+00
1.408691406250000e-01	1.866814e+00	6.044147e+00
1.418457031250000e-01	1.853355e+00	6.072721e+00
1.428222656250000e-01	1.836869e+00	6.107722e+00
1.437988281250000e-01	1.817605e+00	6.148623e+00
1.447753906250000e-01	1.795852e+00	6.194808e+00
1.457519531250000e-01	1.771937e+00	6.245585e+00
1.467285156250000e-01	1.746221e+00	6.300188e+00
1.477050781250000e-01	1.719089e+00	6.357796e+00
1.486816406250000e-01	1.690951e+00	6.417543e+00
1.511230468750000e-01	1.618995e+00	6.570329e+00
1.520996093750000e-01	1.590705e+00	6.630397e+00
1.530761718750000e-01	1.563339e+00	6.688504e+00
1.540527343750000e-01	1.537308e+00	6.743775e+00
1.550292968750000e-01	1.513004e+00	6.795380e+00
1.560058593750000e-01	1.490792e+00	6.842542e+00
1.569824218750000e-01	1.471007e+00	6.884552e+00
1.579589843750000e-01	1.453945e+00	6.920777e+00
1.589355468750000e-01	1.439863e+00	6.950675e+00
1.599121093750000e-01	1.428973e+00	6.973793e+00
1.608886718750000e-01	1.421439e+00	6.989785e+00
1.618652343750000e-01	1.417374e+00	6.998410e+00
1.628417968750000e-01	1.416840e+00	6.999539e+00
1.638183593750000e-01	1.419843e+00	6.993154e+00
1.647949218750000e-01	1.426339e+00	6.979352e+00
1.657714843750000e-01	1.436231e+00	6.958340e+00
1.667480468750000e-01	1.449368e+00	6.930433e+00
1.677246093750000e-01	1.465555e+00	6.896053e+00
1.687011718750000e-01	1.484546e+00	6.855716e+00
1.696777343750000e-01	1.506057e+00	6.810029e+00
1.706542968750000e-01	1.529764e+00	6.759678e+00
1.716308593750000e-01	1.555310e+00	6.705421e+00
1.726074218750000e-01	1.582310e+00	6.648076e+00
1.735839843750000e-01	1.610360e+00	6.588502e+00
1.750488281250000e-01	1.653475e+00	6.496932e+00
1.765136718750000e-01	1.696541e+00	6.405466e+00
1.774902343750000e-01	1.724504e+00	6.346075e+00
1.784667968750000e-01	1.751377e+00	6.289000e+00
1.794433593750000e-01	1.776756e+00	6.235098e+00
1.804199218750000e-01	1.800258e+00	6.185181e+00
1.813964843750000e-01	1.821530e+00	6.139999e+00
1.823730468750000e-01	1.840253e+00	6.100231e+00
1.833496093750000e-01	1.856144e+00	6.066477e+00
1.843261718750000e-01	1.868965e+00	6.039243e+00
1.853027343750000e-01	1.878522e+00	6.018939e+00
1.862792968750000e-01	1.884672e+00	6.005871e+00
1.872558593750000e-01	1.887322e+00	6.000235e+00
1.882324218750000e-01	1.886432e+00	6.002116e+00
1.892089843750000e-01	1.882016e+00	6.011486e+00
1.901855468750000e-01	1.874140e+00	6.028203e+00
1.911621093750000e-01	1.862922e+00	6.052017e+00
1.921386718750000e-01	1.848532e+00	6.082569e+00
1.931152343750000e-01	1.831185e+00	6.119399e+00
1.940917968750000e-01	1.811142e+00	6.161953e+00
1.950683593750000e-01	1.788705e+00	6.209593e+00
1.960449218750000e-01	1.764211e+00	6.261600e+00
1.970214843750000e-01	1.738029e+00	6.317194e+00
1.979980468750000e-01	1.710552e+00	6.375536e+00
1.989746093750000e-01	1.682193e+00	6.435751e+00
1.993233816964285e-01	1.671883e+00	6.457643e+00
1.996721540178571e-01	1.661584e+00	6.479512e+00
2.000209263392857e-01	1.651296e+00	6.501357e+00
2.003696986607142e-01	1.641019e+00	6.523178e+00
2.007184709821428e-01	1.630753e+00	6.544976e+00
2.010672433035714e-01	1.620498e+00	6.566751e+00
2.014160156250000e-01	1.610255e+00	6.588502e+00
2.023925781250000e-01	1.582198e+00	6.648076e+00
2.033691406250000e-01	1.555191e+00	6.705421e+00
2.043457031250000e-01	1.529638e+00	6.759678e+00
2.053222656250000e-01	1.505925e+00	6.810029e+00
2.062988281250000e-01	1.484408e+00	6.855716e+00
2.072753906250000e-01	1.465410e+00	6.896053e+00
2.082519531250000e-01	1.449217e+00	6.930433e+00
2.092285156250000e-01	1.436074e+00	6.958340e+00
2.102050781250000e-01	1.426176e+00	6.979352e+00
2.111816406250000e-01	1.419673e+00	6.993154e+00
2.121582031250000e-01	1.416664e+00	6.999539e+00
2.131347656250000e-01	1.417193e+00	6.998410e+00
2.141113281250000e-01	1.421251e+00	6.989785e+00
2.150878906250000e-01	1.428779e+00	6.973793e+00
2.160644531250000e-01	1.439662e+00	6.950675e+00
2.170410156250000e-01	1.453738e+00	6.920777e+00
2.180175781250000e-01	1.470794e+00	6.884552e+00
2.189941406250000e-01	1.490573e+00	6.842542e+00
2.199707031250000e-01	1.512779e+00	6.795380e+00
2.209472656250000e-01	1.537076e+00	6.743775e+00
2.219238281250000e-01	1.563100e+00	6.688504e+00
2.229003906250000e-01	1.590459e+00	6.630397e+00
2.238769531250000e-01	1.618742e+00	6.570329e+00
2.242257254464285e-01	1.629036e+00	6.548467e+00
2.245744977678571e-01	1.639324e+00	6.526618e+00
2.249232700892857e-01	1.649606e+00	6.504779e+00
2.252720424107142e-01	1.659883e+00	6.482953e+00
2.256208147321428e-01	1.670155e+00	6.461138e+00
2.259695870535714e-01	1.680420e+00	6.439335e+00
2.263183593750000e-01	1.690681e+00	6.417543e+00
2.272949218750000e-01	1.718812e+00	6.357796e+00
2.282714843750000e-01	1.745937e+00	6.300188e+00
2.292480468750000e-01	1.771646e+00	6.245585e+00
2.302246093750000e-01	1.795553e+00	6.194808e+00
2.312011718750000e-01	1.817298e+00	6.148623e+00
2.321777343750000e-01	1.836555e+00	6.107722e+00
2.331542968750000e-01	1.853033e+00	6.072721e+00
2.341308593750000e-01	1.866485e+00	6.044147e+00
2.351074218750000e-01	1.876708e+00	6.022429e+00
2.360839843750000e-01	1.883549e+00	6.007895e+00
2.370605468750000e-01	1.886904e+00	6.000762e+00
2.380371093750000e-01	1.886723e+00	6.001139e+00
2.390136718750000e-01	1.883009e+00	6.009018e+00
2.399902343750000e-01	1.875818e+00	6.024282e+00
2.409667968750000e-01	1.865257e+00	6.046702e+00
2.419433593750000e-01	1.851485e+00	6.075940e+00
2.429199218750000e-01	1.834710e+00	6.111556e+00
2.438964843750000e-01	1.815184e+00	6.153014e+00
2.448730468750000e-01	1.793200e+00	6.199692e+00
2.458496093750000e-01	1.769090e+00	6.250886e+00
2.468261718750000e-01	1.743215e+00	6.305828e+00
2.478027343750000e-01	1.715964e+00	6.363689e+00
2.487792968750000e-01	1.687748e+00	6.423602e+00
2.512207031250000e-01	1.615789e+00	6.576398e+00
2.521972656250000e-01	1.587573e+00	6.636311e+00
2.531738281250000e-01	1.560323e+00	6.694172e+00
2.541503906250000e-01	1.534448e+00	6.749114e+00
2.551269531250000e-01	1.510338e+00	6.800308e+00
2.561035156250000e-01	1.488355e+00	6.846986e+00
2.570800781250000e-01	1.468829e+00	6.888444e+00
2.580566406250000e-01	1.452055e+00	6.924060e+00
2.590332031250000e-01	1.438285e+00	6.953298e+00
2.600097656250000e-01	1.427724e+00	6.975718e+00
2.609863281250000e-01	1.420534e+00	6.990982e+00
2.619628906250000e-01	1.416821e+00	6.998861e+00
2.629394531250000e-01	1.416641e+00	6.999238e+00
2.639160156250000e-01	1.419997e+00	6.992105e+00
2.648925781250000e-01	1.426839e+00	6.977571e+00
2.658691406250000e-01	1.437063e+00	6.955853e+00
2.668457031250000e-01	1.450516e+00	6.927279e+00
2.678222656250000e-01	1.466995e+00	6.892278e+00
2.687988281250000e-01	1.486252e+00	6.851377e+00
2.697753906250000e-01	1.507998e+00	6.805192e+00
2.707519531250000e-01	1.531906e+00	6.754415e+00
2.717285156250000e-01	1.557616e+00	6.699812e+00
2.727050781250000e-01	1.584741e+00	6.642204e+00
2.736816406250000e-01	1.612873e+00	6.582457e+00
2.751464843750000e-01	1.656031e+00	6.490797e+00
2.766113281250000e-01	1.699042e+00	6.399448e+00
2.775878906250000e-01	1.726916e+00	6.340249e+00
2.785644531250000e-01	1.753658e+00	6.283453e+00
2.795410156250000e-01	1.778866e+00	6.229914e+00
2.805175781250000e-01	1.802161e+00	6.180438e+00
2.814941406250000e-01	1.823193e+00	6.135768e+00
2.824707031250000e-01	1.841645e+00	6.096576e+00
2.834472656250000e-01	1.857240e+00	6.063453e+00
2.844238281250000e-01	1.869743e+00	6.036895e+00
2.854003906250000e-01	1.878965e+00	6.017303e+00
2.863769531250000e-01	1.884769e+00	6.004971e+00
2.873535156250000e-01	1.887066e+00	6.000085e+00
2.883300781250000e-01	1.885823e+00	6.002717e+00
2.893066406250000e-01	1.881058e+00	6.012830e+00
2.902832031250000e-01	1.872842e+00	6.030271e+00
2.912597656250000e-01	1.861299e+00	6.054776e+00
2.922363281250000e-01	1.846603e+00	6.085978e+00
2.932128906250000e-01	1.828975e+00	6.123406e+00
2.941894531250000e-01	1.808679e+00	6.166500e+00
2.951660156250000e-01	1.786021e+00	6.214610e+00
2.961425781250000e-01	1.761342e+00	6.267012e+00
2.971191406250000e-01	1.735013e+00	6.322918e+00
2.980957031250000e-01	1.707429e+00	6.381488e+00
2.990722656250000e-01	1.679006e+00	6.441841e+00
2.994210379464285e-01	1.668683e+00	6.463760e+00
2.997698102678572e-01	1.658377e+00	6.485644e+00
3.001185825892857e-01	1.648088e+00	6.507492e+00
3.004673549107143e-01	1.637815e+00	6.529306e+00
3.008161272321428e-01	1.627559e+00	6.551084e+00
3.011648995535715e-01	1.617319e+00	6.572827e+00
3.015136718750000e-01	1.607096e+00	6.594534e+00
3.024902343750000e-01	1.579126e+00	6.653925e+00
3.034667968750000e-01	1.552247e+00	6.711000e+00
3.044433593750000e-01	1.526862e+00	6.764902e+00
3.054199218750000e-01	1.503353e+00	6.814819e+00
3.063964843750000e-01	1.482075e+00	6.860001e+00
3.073730468750000e-01	1.463346e+00	6.899769e+00
3.083496093750000e-01	1.447448e+00	6.933523e+00
3.093261718750000e-01	1.434621e+00	6.960757e+00
3.103027343750000e-01	1.425058e+00	6.981061e+00
3.112792968750000e-01	1.418902e+00	6.994129e+00
3.122558593750000e-01	1.416246e+00	6.999765e+00
3.132324218750000e-01	1.417129e+00	6.997884e+00
3.142089843750000e-01	1.421539e+00	6.988514e+00
3.151855468750000e-01	1.429409e+00	6.971797e+00
3.161621093750000e-01	1.440620e+00	6.947983e+00
3.171386718750000e-01	1.455004e+00	6.917431e+00
3.181152343750000e-01	1.472345e+00	6.880601e+00
3.190917968750000e-01	1.492382e+00	6.838047e+00
3.200683593750000e-01	1.514813e+00	6.790407e+00
3.210449218750000e-01	1.539300e+00	6.738400e+00
3.220214843750000e-01	1.565476e+00	6.682806e+00
3.229980468750000e-01	1.592947e+00	6.624464e+00
3.239746093750000e-01	1.621300e+00	6.564249e+00
3.243233816964285e-01	1.631608e+00	6.542357e+00
3.246721540178572e-01	1.641905e+00	6.520488e+00
3.250209263392857e-01	1.652191e+00	6.498643e+00
3.253696986607143e-01	1.662465e+00	6.476822e+00
3.257184709821428e-01	1.672729e+00	6.455024e+00
3.260672433035715e-01	1.682982e+00	6.433249e+00
3.264160156250000e-01	1.693223e+00	6.411498e+00
3.273925781250000e-01	1.721273e+00	6.351924e+00
3.283691406250000e-01	1.748275e+00	6.294579e+00
3.293457031250000e-01	1.773821e+00	6.240322e+00
3.303222656250000e-01	1.797528e+00	6.189971e+00
3.312988281250000e-01	1.819040e+00	6.144284e+00
3.322753906250000e-01	1.838031e+00	6.103947e+00
3.332519531250000e-01	1.854218e+00	6.069567e+00
3.342285156250000e-01	1.867356e+00	6.041660e+00
3.352050781250000e-01	1.877247e+00	6.020648e+00
3.361816406250000e-01	1.883744e+00	6.006846e+00
3.371582031250000e-01	1.886747e+00	6.000461e+00
3.381347656250000e-01	1.886213e+00	6.001590e+00
3.391113281250000e-01	1.882148e+00	6.010215e+00
3.400878906250000e-01	1.874614e+00	6.026207e+00
3.410644531250000e-01	1.863725e+00	6.049325e+00
3.420410156250000e-01	1.849643e+00	6.079223e+00
3.430175781250000e-01	1.832582e+00	6.115448e+00
3.439941406250000e-01	1.812797e+00	6.157458e+00
3.449707031250000e-01	1.790585e+00	6.204620e+00
3.459472656250000e-01	1.766282e+00	6.256225e+00
3.469238281250000e-01	1.740252e+00	6.311496e+00
3.479003906250000e-01	1.712887e+00	6.369603e+00
3.488769531250000e-01	1.684598e+00	6.429671e+00
3.492257254464285e-01	1.674302e+00	6.451533e+00
3.495744977678572e-01	1.664012e+00	6.473382e+00
3.499232700892857e-01	1.653728e+00	6.495221e+00
3.502720424107143e-01	1.643449e+00	6.517047e+00
3.506208147321428e-01	1.633175e+00	6.538862e+00
3.509695870535715e-01	1.622907e+00	6.560665e+00
3.513183593750000e-01	1.612645e+00	6.582457e+00
3.522949218750000e-01	1.584507e+00	6.642204e+00
3.532714843750000e-01	1.557377e+00	6.699812e+00
3.542480468750000e-01	1.531662e+00	6.754415e+00
3.552246093750000e-01	1.507750e+00	6.805192e+00
3.562011718750000e-01	1.485998e+00	6.851377e+00
3.571777343750000e-01	1.466736e+00	6.892278e+00
3.581542968750000e-01	1.450252e+00	6.927279e+00
3.591308593750000e-01	1.436794e+00	6.955853e+00
3.601074218750000e-01	1.426565e+00	6.977571e+00
3.610839843750000e-01	1.419719e+00	6.992105e+00
3.620605468750000e-01	1.416358e+00	6.999238e+00
3.630371093750000e-01	1.416533e+00	6.998861e+00
3.640136718750000e-01	1.420241e+00	6.990982e+00
3.649902343750000e-01	1.427427e+00	6.975718e+00
3.659667968750000e-01	1.437982e+00	6.953298e+00
3.669433593750000e-01	1.451748e+00	6.924060e+00
