time	V(n002)	V(n003)
6.065917968750010e-01	3.359033e+00	3.129374e+00
6.164550781250010e-01	3.353611e+00	3.077454e+00
6.263183593750010e-01	3.342148e+00	3.038674e+00
6.361816406250010e-01	3.324681e+00	3.013184e+00
6.460449218750011e-01	3.301268e+00	3.001081e+00
6.559082031250011e-01	3.271990e+00	3.002411e+00
6.657714843750011e-01	3.236951e+00	3.017171e+00
6.756347656250011e-01	3.196278e+00	3.045302e+00
6.854980468750012e-01	3.150119e+00	3.086697e+00
6.953613281250012e-01	3.098644e+00	3.141198e+00
7.052246093750012e-01	3.042042e+00	3.208594e+00
7.150878906250012e-01	2.980523e+00	3.288627e+00
7.249511718750012e-01	2.914315e+00	3.380990e+00
7.348144531250013e-01	2.843667e+00	3.485328e+00
7.446777343750013e-01	2.768841e+00	3.601240e+00
7.545410156250013e-01	2.690119e+00	3.728282e+00
7.644042968750013e-01	2.607794e+00	3.865966e+00
7.742675781250014e-01	2.522177e+00	4.013763e+00
7.841308593750014e-01	2.433590e+00	4.171106e+00
7.939941406250014e-01	2.342366e+00	4.337390e+00
8.038574218750014e-01	2.248848e+00	4.511977e+00
8.137207031250014e-01	2.153390e+00	4.694198e+00
8.334472656250015e-01	1.958101e+00	5.078711e+00
8.729003906250016e-01	1.560423e+00	5.906924e+00
8.926269531250016e-01	1.364043e+00	6.337916e+00
9.123535156250014e-01	1.173275e+00	6.771395e+00
9.320800781250013e-01	9.910043e-01	7.200710e+00
9.518066406250011e-01	8.199855e-01	7.619275e+00
9.616699218750010e-01	7.395111e-01	7.822509e+00
9.715332031250009e-01	6.628035e-01	8.020666e+00
9.813964843750008e-01	5.901523e-01	8.212984e+00
9.912597656250007e-01	5.218319e-01	8.398726e+00
1.001123046875001e+00	4.581000e-01	8.577177e+00
1.010986328125000e+00	3.991969e-01	8.747654e+00
1.020849609375000e+00	3.453443e-01	8.909501e+00
1.030712890625000e+00	2.967446e-01	9.062097e+00
1.040576171875000e+00	2.535803e-01	9.204855e+00
1.050439453125000e+00	2.160129e-01	9.337229e+00
1.060302734375000e+00	1.841824e-01	9.458710e+00
1.070166015625000e+00	1.582071e-01	9.568830e+00
1.080029296875000e+00	1.381828e-01	9.667169e+00
1.089892578125000e+00	1.241825e-01	9.753347e+00
1.099755859375000e+00	1.162560e-01	9.827035e+00
1.109619140625000e+00	1.144301e-01	9.887948e+00
1.119482421874999e+00	1.187081e-01	9.935854e+00
1.129345703124999e+00	1.290699e-01	9.970569e+00
1.139208984374999e+00	1.454722e-01	9.991959e+00
1.149072265624999e+00	1.678486e-01	9.999941e+00
1.158935546874999e+00	1.961096e-01	9.994485e+00
1.168798828124999e+00	2.301435e-01	9.975614e+00
1.178662109374999e+00	2.698161e-01	9.943397e+00
1.188525390624999e+00	3.149719e-01	9.897960e+00
1.198388671874999e+00	3.654344e-01	9.839477e+00
1.208251953124999e+00	4.210067e-01	9.768172e+00
1.218115234374999e+00	4.814722e-01	9.684320e+00
1.227978515624998e+00	5.465959e-01	9.588242e+00
1.237841796874998e+00	6.161246e-01	9.480307e+00
1.247705078124998e+00	6.897885e-01	9.360929e+00
1.267431640624998e+00	8.483643e-01	9.089721e+00
1.287158203124998e+00	1.019868e+00	8.778778e+00
1.306884765624998e+00	1.201646e+00	8.432874e+00
