time	V(n002)	V(n003)
0.000000000000000e+00	1.523670e+00	6.793893e+00
3.029436383928573e-02	1.497329e+00	6.868080e+00
6.058872767857146e-02	1.478981e+00	6.925566e+00
9.088309151785720e-02	1.468624e+00	6.966350e+00
1.211774553571429e-01	1.466261e+00	6.990432e+00
1.514718191964287e-01	1.471889e+00	6.997812e+00
1.817661830357144e-01	1.485510e+00	6.988490e+00
2.120605468750001e-01	1.507123e+00	6.962466e+00
2.317871093750001e-01	1.524557e+00	6.935421e+00
2.515136718750002e-01	1.544482e+00	6.901695e+00
2.712402343750002e-01	1.566574e+00	6.861806e+00
2.909667968750003e-01	1.590474e+00	6.816366e+00
3.106933593750003e-01	1.615797e+00	6.766072e+00
3.205566406250003e-01	1.628866e+00	6.739343e+00
3.304199218750004e-01	1.642137e+00	6.711695e+00
3.501464843750004e-01	1.669074e+00	6.654071e+00
3.586007254464290e-01	1.680779e+00	6.628413e+00
3.670549665178576e-01	1.692396e+00	6.602577e+00
3.755092075892862e-01	1.703924e+00	6.576562e+00
3.839634486607147e-01	1.715365e+00	6.550369e+00
3.924176897321434e-01	1.726718e+00	6.523997e+00
4.008719308035720e-01	1.737983e+00	6.497447e+00
4.093261718750005e-01	1.749161e+00	6.470718e+00
4.290527343750006e-01	1.774198e+00	6.409234e+00
4.487792968750006e-01	1.797729e+00	6.349144e+00
4.685058593750007e-01	1.819378e+00	6.291367e+00
4.882324218750007e-01	1.838800e+00	6.236792e+00
5.079589843750008e-01	1.855685e+00	6.186255e+00
5.276855468750008e-01	1.869761e+00	6.140532e+00
5.474121093750008e-01	1.880799e+00	6.100324e+00
5.671386718750009e-01	1.888619e+00	6.066248e+00
5.868652343750009e-01	1.893091e+00	6.038827e+00
6.065917968750010e-01	1.894133e+00	6.018482e+00
6.263183593750010e-01	1.891721e+00	6.005525e+00
6.460449218750011e-01	1.885881e+00	6.000154e+00
6.657714843750011e-01	1.876693e+00	6.002453e+00
6.854980468750012e-01	1.864289e+00	6.012385e+00
7.052246093750012e-01	1.848849e+00	6.029799e+00
7.249511718750012e-01	1.830602e+00	6.054427e+00
7.446777343750013e-01	1.809820e+00	6.085892e+00
7.644042968750013e-01	1.786814e+00	6.123710e+00
7.841308593750014e-01	1.761927e+00	6.167301e+00
8.038574218750014e-01	1.735536e+00	6.215997e+00
8.334472656250015e-01	1.694000e+00	6.296959e+00
8.419015066964300e-01	1.681787e+00	6.321686e+00
8.503557477678587e-01	1.669604e+00	6.346736e+00
8.588099888392873e-01	1.657450e+00	6.372111e+00
8.672642299107158e-01	1.645327e+00	6.397809e+00
8.757184709821445e-01	1.633233e+00	6.423830e+00
8.841727120535731e-01	1.621169e+00	6.450176e+00
8.926269531250016e-01	1.609135e+00	6.476845e+00
9.123535156250014e-01	1.581882e+00	6.538771e+00
9.320800781250013e-01	1.555844e+00	6.600101e+00
9.518066406250011e-01	1.531412e+00	6.659896e+00
9.715332031250009e-01	1.508958e+00	6.717238e+00
9.912597656250007e-01	1.488819e+00	6.771246e+00
1.010986328125000e+00	1.471300e+00	6.821094e+00
1.030712890625000e+00	1.456664e+00	6.866014e+00
1.050439453125000e+00	1.445131e+00	6.905318e+00
1.070166015625000e+00	1.436873e+00	6.938405e+00
1.089892578125000e+00	1.432012e+00	6.964764e+00
1.109619140625000e+00	1.430619e+00	6.983993e+00
1.129345703124999e+00	1.432710e+00	6.995796e+00
1.149072265624999e+00	1.438250e+00	6.999991e+00
1.168798828124999e+00	1.447149e+00	6.996516e+00
1.188525390624999e+00	1.459268e+00	6.985423e+00
1.208251953124999e+00	1.474415e+00	6.966882e+00
1.227978515624998e+00	1.492357e+00	6.941177e+00
1.247705078124998e+00	1.512813e+00	6.908704e+00
1.267431640624998e+00	1.535467e+00	6.869960e+00
1.287158203124998e+00	1.559967e+00	6.825540e+00
1.306884765624998e+00	1.585935e+00	6.776125e+00
1.326611328124998e+00	1.612970e+00	6.722473e+00
1.346337890624997e+00	1.640653e+00	6.665409e+00
1.375927734374997e+00	1.682459e+00	6.575337e+00
1.395654296874997e+00	1.709888e+00	6.513651e+00
1.415380859374997e+00	1.736470e+00	6.451755e+00
1.435107421874997e+00	1.761794e+00	6.390599e+00
1.454833984374996e+00	1.785469e+00	6.331122e+00
1.474560546874996e+00	1.807129e+00	6.274236e+00
1.494287109374996e+00	1.826441e+00	6.220813e+00
1.514013671874996e+00	1.843105e+00	6.171675e+00
1.533740234374996e+00	1.856864e+00	6.127573e+00
1.553466796874996e+00	1.867505e+00	6.089186e+00
1.573193359374995e+00	1.874862e+00	6.057102e+00
1.592919921874995e+00	1.878822e+00	6.031813e+00
1.612646484374995e+00	1.879320e+00	6.013708e+00
1.632373046874995e+00	1.876349e+00	6.003064e+00
1.652099609374995e+00	1.869951e+00	6.000043e+00
1.671826171874994e+00	1.860224e+00	6.004694e+00
1.691552734374994e+00	1.847314e+00	6.016944e+00
1.711279296874994e+00	1.831420e+00	6.036606e+00
1.731005859374994e+00	1.812782e+00	6.063378e+00
1.750732421874994e+00	1.791686e+00	6.096848e+00
1.770458984374994e+00	1.768454e+00	6.136504e+00
1.790185546874993e+00	1.743440e+00	6.181737e+00
1.809912109374993e+00	1.717029e+00	6.231853e+00
1.829638671874993e+00	1.689623e+00	6.286084e+00
1.838092912946422e+00	1.677591e+00	6.310560e+00
