time	V(n002)	V(n003)
0.000000000000000e+00	1.669488e+00	6.500000e+00
1.743861607142858e-04	1.633332e+00	6.576766e+00
3.487723214285715e-04	1.597235e+00	6.653409e+00
5.231584821428573e-04	1.561195e+00	6.729930e+00
6.975446428571431e-04	1.525214e+00	6.806329e+00
8.719308035714288e-04	1.489291e+00	6.882605e+00
1.046316964285715e-03	1.453426e+00	6.958759e+00
1.220703125000000e-03	1.417619e+00	7.034790e+00
2.197265625000000e-03	1.220097e+00	7.454175e+00
3.173828125000000e-03	1.029335e+00	7.859208e+00
4.150390625000000e-03	8.481995e-01	8.243797e+00
5.126953125000000e-03	6.794156e-01	8.602158e+00
5.615234375000000e-03	6.004570e-01	8.769800e+00
6.103515625000000e-03	5.255212e-01	8.928900e+00
6.591796875000000e-03	4.548905e-01	9.078858e+00
7.080078125000000e-03	3.888304e-01	9.219110e+00
7.568359375000000e-03	3.275897e-01	9.349127e+00
8.056640625000000e-03	2.713987e-01	9.468421e+00
8.544921875000000e-03	2.204689e-01	9.576543e+00
9.033203125000000e-03	1.749918e-01	9.673085e+00
9.521484375000000e-03	1.351386e-01	9.757685e+00
1.000976562500000e-02	1.010593e-01	9.830023e+00
1.049804687500000e-02	7.288201e-02	9.889828e+00
1.098632812500000e-02	5.071272e-02	9.936873e+00
1.147460937500000e-02	3.463484e-02	9.970984e+00
1.196289062500000e-02	2.470879e-02	9.992031e+00
1.245117187500000e-02	2.097190e-02	9.999934e+00
1.293945312500000e-02	2.343815e-02	9.994664e+00
1.342773437500000e-02	3.209820e-02	9.976242e+00
1.391601562500000e-02	4.691940e-02	9.944736e+00
1.440429687500000e-02	6.784590e-02	9.900264e+00
1.489257812500000e-02	9.479887e-02	9.842994e+00
1.538085937500000e-02	1.276768e-01	9.773142e+00
1.586914062500000e-02	1.663559e-01	9.690971e+00
1.635742187500000e-02	2.106905e-01	9.596790e+00
1.684570312500000e-02	2.605138e-01	9.490952e+00
1.733398437500000e-02	3.156379e-01	9.373858e+00
1.782226562500000e-02	3.758557e-01	9.245948e+00
1.831054687500000e-02	4.409401e-01	9.107702e+00
1.879882812500000e-02	5.106463e-01	8.959641e+00
1.928710937500000e-02	5.847118e-01	8.802323e+00
1.977539062500000e-02	6.628578e-01	8.636340e+00
2.075195312500000e-02	8.302002e-01	8.280906e+00
2.172851562500000e-02	1.010156e+00	7.898685e+00
2.270507812500000e-02	1.200018e+00	7.495426e+00
2.368164062500000e-02	1.396931e+00	7.077196e+00
2.465820312500000e-02	1.597931e+00	6.650284e+00
2.563476562500000e-02	1.799995e+00	6.221111e+00
2.661132812500000e-02	2.000084e+00	5.796134e+00
2.709960937500000e-02	2.098444e+00	5.587221e+00
2.758789062500000e-02	2.195187e+00	5.381743e+00
2.807617187500000e-02	2.289948e+00	5.180474e+00
2.856445312500000e-02	2.382369e+00	4.984172e+00
2.905273437500000e-02	2.472105e+00	4.793574e+00
2.954101562500000e-02	2.558815e+00	4.609400e+00
3.002929687500000e-02	2.642175e+00	4.432341e+00
3.051757812500000e-02	2.721870e+00	4.263064e+00
3.100585937500000e-02	2.797601e+00	4.102207e+00
3.149414062500000e-02	2.869082e+00	3.950375e+00
3.198242187500000e-02	2.936044e+00	3.808138e+00
3.247070312500000e-02	2.998234e+00	3.676033e+00
3.295898437500000e-02	3.055420e+00	3.554558e+00
3.344726562500000e-02	3.107385e+00	3.444168e+00
3.393554687500000e-02	3.153935e+00	3.345279e+00
3.442382812500000e-02	3.194893e+00	3.258264e+00
3.491210937500000e-02	3.230105e+00	3.183450e+00
3.540039062500000e-02	3.259439e+00	3.121119e+00
3.588867187500000e-02	3.282785e+00	3.071506e+00
3.637695312500000e-02	3.300054e+00	3.034796e+00
3.686523437500000e-02	3.311182e+00	3.011129e+00
3.735351562500000e-02	3.316126e+00	3.000593e+00
3.784179687500000e-02	3.314868e+00	3.003228e+00
3.833007812500000e-02	3.307412e+00	3.019024e+00
3.881835937500000e-02	3.293787e+00	3.047922e+00
3.930664062500000e-02	3.274044e+00	3.089812e+00
3.979492187500000e-02	3.248256e+00	3.144538e+00
4.028320312500000e-02	3.216522e+00	3.211893e+00
4.077148437500000e-02	3.178960e+00	3.291623e+00
4.125976562500000e-02	3.135711e+00	3.383430e+00
4.174804687500000e-02	3.086939e+00	3.486966e+00
4.223632812500000e-02	3.032827e+00	3.601842e+00
4.272460937500000e-02	2.973578e+00	3.727627e+00
4.321289062500000e-02	2.909416e+00	3.863846e+00
4.370117187500000e-02	2.840582e+00	4.009987e+00
4.418945312500000e-02	2.767334e+00	4.165500e+00
4.467773437500000e-02	2.689949e+00	4.329800e+00
4.516601562500000e-02	2.608718e+00	4.502267e+00
4.565429687500000e-02	2.523946e+00	4.682254e+00
4.614257812500000e-02	2.435952e+00	4.869082e+00
4.663085937500000e-02	2.345068e+00	5.062049e+00
4.711914062500000e-02	2.251636e+00	5.260427e+00
4.760742187500000e-02	2.156007e+00	5.463472e+00
4.858398437500000e-02	1.959604e+00	5.880485e+00
4.956054687500000e-02	1.758813e+00	6.306817e+00
5.053710937500000e-02	1.556655e+00	6.736054e+00
5.151367187500000e-02	1.356169e+00	7.161740e+00
5.249023437500000e-02	1.160370e+00	7.577474e+00
5.346679687500000e-02	9.722037e-01	7.977001e+00
5.444335937500000e-02	7.944985e-01	8.354313e+00
5.493164062500000e-02	7.104114e-01	8.532849e+00
5.541992187500000e-02	6.299273e-01	8.703733e+00
5.590820312500000e-02	5.533491e-01	8.866324e+00
5.639648437500000e-02	4.809650e-01	9.020009e+00
5.688476562500000e-02	4.130473e-01	9.164208e+00
5.737304687500000e-02	3.498516e-01	9.298381e+00
5.786132812500000e-02	2.916157e-01	9.422020e+00
5.834960937500000e-02	2.385587e-01	9.534662e+00
5.883789062500000e-02	1.908802e-01	9.635881e+00
5.932617187500000e-02	1.487597e-01	9.725299e+00
5.981445312500000e-02	1.123557e-01	9.802577e+00
6.030273437500000e-02	8.180500e-02	9.867425e+00
6.079101562500000e-02	5.722265e-02	9.919599e+00
6.127929687500000e-02	3.870107e-02	9.958901e+00
6.176757812500000e-02	2.630993e-02	9.985186e+00
6.225585937500000e-02	2.009580e-02	9.998353e+00
6.274414062500000e-02	2.008202e-02	9.998353e+00
6.323242187500000e-02	2.626858e-02	9.985186e+00
6.372070312500000e-02	3.863214e-02	9.958901e+00
6.420898437500000e-02	5.712610e-02	9.919599e+00
6.469726562500000e-02	8.168081e-02	9.867425e+00
6.518554687500000e-02	1.122038e-01	9.802577e+00
6.567382812500000e-02	1.485801e-01	9.725299e+00
6.616210937500000e-02	1.906728e-01	9.635881e+00
6.665039062500000e-02	2.383233e-01	9.534662e+00
6.713867187500000e-02	2.913523e-01	9.422020e+00
6.762695312500000e-02	3.495602e-01	9.298381e+00
6.811523437500000e-02	4.127277e-01	9.164208e+00
6.860351562500000e-02	4.806171e-01	9.020009e+00
6.909179687500000e-02	5.529729e-01	8.866324e+00
6.958007812500000e-02	6.295225e-01	8.703733e+00
7.006835937500000e-02	7.099779e-01	8.532849e+00
7.104492187500000e-02	8.813809e-01	8.168797e+00
7.202148437500000e-02	1.064603e+00	7.779645e+00
7.299804687500000e-02	1.256889e+00	7.371247e+00
