time	V(n002)	V(n003)
0.000000000000000e+00	2.083435e+00	6.500000e+00
3.808593750000144e-05	1.934874e+00	6.834510e+00
8.886718750000799e-05	1.733648e+00	7.275234e+00
1.904296875000072e-04	1.331868e+00	8.111885e+00
3.104296875000023e-04	8.857955e-01	8.961963e+00
4.304296874999974e-04	5.080835e-01	9.589797e+00
5.504296874999925e-04	2.333231e-01	9.938711e+00
6.345097903620450e-04	1.156481e-01	9.999001e+00
6.779843990053491e-04	8.146021e-02	9.969013e+00
7.486771756185784e-04	6.618508e-02	9.832275e+00
8.626405232724094e-04	1.461857e-01	9.394087e+00
9.826405232724045e-04	3.624604e-01	8.678790e+00
1.102640523272400e-03	6.950218e-01	7.766811e+00
1.222640523272395e-03	1.113868e+00	6.740477e+00
1.342640523272390e-03	1.581196e+00	5.692434e+00
1.462640523272385e-03	2.054820e+00	4.717291e+00
1.582640523272380e-03	2.491987e+00	3.903075e+00
1.702640523272375e-03	2.853233e+00	3.323285e+00
1.822640523272370e-03	3.105949e+00	3.030261e+00
1.892944085098547e-03	3.194315e+00	3.003559e+00
1.941714864833174e-03	3.227313e+00	3.049085e+00
2.020936910914178e-03	3.230150e+00	3.232795e+00
2.140936910914173e-03	3.116449e+00	3.753090e+00
2.260936910914169e-03	2.870557e+00	4.521351e+00
2.380936910914164e-03	2.514601e+00	5.468227e+00
2.500936910914159e-03	2.080692e+00	6.508242e+00
2.620936910914154e-03	1.607993e+00	7.547512e+00
2.740936910914149e-03	1.139173e+00	8.492223e+00
2.860936910914144e-03	7.165520e-01	9.257094e+00
2.980936910914139e-03	3.782801e-01	9.773080e+00
3.100936910914134e-03	1.548935e-01	9.993602e+00
3.153546980953811e-03	9.849404e-02	9.990995e+00
3.208968193805284e-03	6.866440e-02	9.922351e+00
3.298836227974555e-03	8.571545e-02	9.671240e+00
3.418836227974550e-03	2.314766e-01	9.088199e+00
3.538836227974546e-03	5.053264e-01	8.271518e+00
3.658836227974541e-03	8.825782e-01	7.294920e+00
3.778836227974536e-03	1.329187e+00	6.246565e+00
3.898836227974531e-03	1.804841e+00	5.221088e+00
4.018836227974526e-03	2.266603e+00	4.311059e+00
4.138836227974521e-03	2.672789e+00	3.598628e+00
4.258836227974516e-03	2.986734e+00	3.148106e+00
4.368291627654786e-03	3.168623e+00	3.000497e+00
4.410006422621474e-03	3.208498e+00	3.013537e+00
4.469473241605751e-03	3.235443e+00	3.098196e+00
4.565776356185727e-03	3.203988e+00	3.394667e+00
4.685776356185722e-03	3.039075e+00	4.014429e+00
4.805776356185718e-03	2.748889e+00	4.858565e+00
4.925776356185713e-03	2.359602e+00	5.850875e+00
5.045776356185708e-03	1.906348e+00	6.901782e+00
5.165776356185703e-03	1.430039e+00	7.916420e+00
5.285776356185698e-03	9.736719e-01	8.803197e+00
5.405776356185693e-03	5.784433e-01	9.482061e+00
5.525776356185688e-03	2.800308e-01	9.891733e+00
5.624976236050280e-03	1.256772e-01	1.000000e+01
5.662491167380240e-03	9.151882e-02	9.984474e+00
5.723512720635163e-03	6.588439e-02	9.893270e+00
5.822279633576732e-03	1.033326e-01	9.578529e+00
5.942279633576728e-03	2.755271e-01	8.944966e+00
6.062279633576723e-03	5.718474e-01	8.090693e+00
6.182279633576718e-03	9.655686e-01	7.092828e+00
6.302279633576713e-03	1.421156e+00	6.041446e+00
6.422279633576708e-03	1.897487e+00	5.031459e+00
6.542279633576703e-03	2.351562e+00	4.154038e+00
6.662279633576698e-03	2.742392e+00	3.488390e+00
6.782279633576693e-03	3.034696e+00	3.094602e+00
6.877511716924120e-03	3.178976e+00	3.000070e+00
6.916589864730052e-03	3.213274e+00	3.019103e+00
6.980173988332325e-03	3.236553e+00	3.121564e+00
7.082989894277719e-03	3.188719e+00	3.467402e+00
7.202989894277714e-03	3.004641e+00	4.123325e+00
7.322989894277709e-03	2.698393e+00	4.993793e+00
7.442989894277705e-03	2.297598e+00	6.000227e+00
